Sample_ID';Sample_name;Genotype;Genotype2;Compartment;Soil;State;State2;Experiment
Rh-78;UCS03_2_Rhizosphere;UCS03;UCS03;Rhizosphere;Utobara;Alt_Ref;Alt;HAPLOTYPE
Rh-79;UCS03_3_Rhizosphere;UCS03;UCS03;Rhizosphere;Utobara;Alt_Ref;Alt;HAPLOTYPE
Rh-80;UCS03_4_Rhizosphere;UCS03;UCS03;Rhizosphere;Utobara;Alt_Ref;Alt;HAPLOTYPE
No-81;UCS03_1_Nodule;UCS03;UCS03;Nodule;Utobara;Alt_Ref;Alt;HAPLOTYPE
No-82;UCS03_2_Nodule;UCS03;UCS03;Nodule;Utobara;Alt_Ref;Alt;HAPLOTYPE
No-83;UCS03_3_Nodule;UCS03;UCS03;Nodule;Utobara;Alt_Ref;Alt;HAPLOTYPE
No-84;UCS03_4_Nodule;UCS03;UCS03;Nodule;Utobara;Alt_Ref;Alt;HAPLOTYPE
En-85;UCS01_1_Endosphere;UCS01;UCS01;Endosphere;Utobara;Alt_Ref;Alt;HAPLOTYPE
En-86;UCS01_2_Endosphere;UCS01;UCS01;Endosphere;Utobara;Alt_Ref;Alt;HAPLOTYPE
En-87;UCS01_3_Endosphere;UCS01;UCS01;Endosphere;Utobara;Alt_Ref;Alt;HAPLOTYPE
En-88;UCS01_4_Endosphere;UCS01;UCS01;Endosphere;Utobara;Alt_Ref;Alt;HAPLOTYPE
Rh-89;UCS01_1_Rhizosphere;UCS01;UCS01;Rhizosphere;Utobara;Alt_Ref;Alt;HAPLOTYPE
Rh-90;UCS01_2_Rhizosphere;UCS01;UCS01;Rhizosphere;Utobara;Alt_Ref;Alt;HAPLOTYPE
Rh-91;UCS01_3_Rhizosphere;UCS01;UCS01;Rhizosphere;Utobara;Alt_Ref;Alt;HAPLOTYPE
Rh-92;UCS01_4_Rhizosphere;UCS01;UCS01;Rhizosphere;Utobara;Alt_Ref;Alt;HAPLOTYPE
No-93;UCS01_1_Nodule;UCS01;UCS01;Nodule;Utobara;Alt_Ref;Alt;HAPLOTYPE
No-94;UCS01_2_Nodule;UCS01;UCS01;Nodule;Utobara;Alt_Ref;Alt;HAPLOTYPE
No-95;UCS01_3_Nodule;UCS01;UCS01;Nodule;Utobara;Alt_Ref;Alt;HAPLOTYPE
No-96;UCS01_4_Nodule;UCS01;UCS01;Nodule;Utobara;Alt_Ref;Alt;HAPLOTYPE
En-Gifu1;Gifu_1_Endosphere;Gifu;Gifu;Endosphere;Utobara;Ref_Ref;Ref;HAPLOTYPE
En-Gifu2;Gifu_2_Endosphere;Gifu;Gifu;Endosphere;Utobara;Ref_Ref;Ref;HAPLOTYPE
En-Gifu3;Gifu_3_Endosphere;Gifu;Gifu;Endosphere;Utobara;Ref_Ref;Ref;HAPLOTYPE
En-Gifu4;Gifu_4_Endosphere;Gifu;Gifu;Endosphere;Utobara;Ref_Ref;Ref;HAPLOTYPE
No-Gifu1;Gifu_1_Rhizosphere;Gifu;Gifu;Nodule;Utobara;Ref_Ref;Ref;HAPLOTYPE
No-Gifu2;Gifu_2_Rhizosphere;Gifu;Gifu;Nodule;Utobara;Ref_Ref;Ref;HAPLOTYPE
No-Gifu3;Gifu_3_Rhizosphere;Gifu;Gifu;Nodule;Utobara;Ref_Ref;Ref;HAPLOTYPE
No-Gifu4;Gifu_4_Rhizosphere;Gifu;Gifu;Nodule;Utobara;Ref_Ref;Ref;HAPLOTYPE
Rh-Gifu1;Gifu_1_Nodule;Gifu;Gifu;Rhizosphere;Utobara;Ref_Ref;Ref;HAPLOTYPE
Rh-Gifu2;Gifu_2_Nodule;Gifu;Gifu;Rhizosphere;Utobara;Ref_Ref;Ref;HAPLOTYPE
Rh-Gifu3;Gifu_3_Nodule;Gifu;Gifu;Rhizosphere;Utobara;Ref_Ref;Ref;HAPLOTYPE
Rh-Gifu4;Gifu_4_Nodule;Gifu;Gifu;Rhizosphere;Utobara;Ref_Ref;Ref;HAPLOTYPE
