Sample_ID';Sample_name;Genotype;Genotype2;Compartment;Soil
No-068;NLEAP1_2_Aso_Nodule;roomie1-2;roomie1;Nodule;Aso
No-069;NLEAP1_3_Aso_Nodule;roomie1-2;roomie1;Nodule;Aso
No-070;NLEAP1_4_Aso_Nodule;roomie1-2;roomie1;Nodule;Aso
No-071;NLEAP1_5_Aso_Nodule;roomie1-2;roomie1;Nodule;Aso
No-072;NLEAP1_6_Aso_Nodule;roomie1-2;roomie1;Nodule;Aso
No-085;CFI1_1_Aso_Nodule;CFI1;CFI;Nodule;Aso
No-086;CFI1_2_Aso_Nodule;CFI1;CFI;Nodule;Aso
No-087;CFI1_3_Aso_Nodule;CFI1;CFI;Nodule;Aso
No-088;CFI1_4_Aso_Nodule;CFI1;CFI;Nodule;Aso
No-089;CFI1_5_Aso_Nodule;CFI1;CFI;Nodule;Aso
No-090;CFI1_6_Aso_Nodule;CFI1;CFI;Nodule;Aso
No-103;CFI2_1_Aso_Nodule;CFI2;CFI;Nodule;Aso
No-104;CFI2_2_Aso_Nodule;CFI2;CFI;Nodule;Aso
No-105;CFI2_3_Aso_Nodule;CFI2;CFI;Nodule;Aso
No-106;CFI2_4_Aso_Nodule;CFI2;CFI;Nodule;Aso
No-107;CFI2_5_Aso_Nodule;CFI2;CFI;Nodule;Aso
No-108;CFI2_6_Aso_Nodule;CFI2;CFI;Nodule;Aso
No-133;Gifu_1_Utobara_Nodule;Gifu;Gifu;Nodule;Utobara
No-134;Gifu_2_Utobara_Nodule;Gifu;Gifu;Nodule;Utobara
No-135;Gifu_3_Utobara_Nodule;Gifu;Gifu;Nodule;Utobara
No-136;Gifu_4_Utobara_Nodule;Gifu;Gifu;Nodule;Utobara
No-137;Gifu_5_Utobara_Nodule;Gifu;Gifu;Nodule;Utobara
No-138;Gifu_6_Utobara_Nodule;Gifu;Gifu;Nodule;Utobara
No-157;NLEAP0_1_Utobara_Nodule;roomie1-1;roomie1;Nodule;Utobara
No-158;NLEAP0_2_Utobara_Nodule;roomie1-1;roomie1;Nodule;Utobara
No-159;NLEAP0_3_Utobara_Nodule;roomie1-1;roomie1;Nodule;Utobara
No-160;NLEAP0_4_Utobara_Nodule;roomie1-1;roomie1;Nodule;Utobara
No-161;NLEAP0_5_Utobara_Nodule;roomie1-1;roomie1;Nodule;Utobara
No-162;NLEAP0_6_Utobara_Nodule;roomie1-1;roomie1;Nodule;Utobara
No-175;NLEAP1_1_Utobara_Nodule;roomie1-2;roomie1;Nodule;Utobara
No-176;NLEAP1_2_Utobara_Nodule;roomie1-2;roomie1;Nodule;Utobara
No-177;NLEAP1_3_Utobara_Nodule;roomie1-2;roomie1;Nodule;Utobara
No-178;NLEAP1_4_Utobara_Nodule;roomie1-2;roomie1;Nodule;Utobara
No-179;NLEAP1_5_Utobara_Nodule;roomie1-2;roomie1;Nodule;Utobara
No-180;NLEAP1_6_Utobara_Nodule;roomie1-2;roomie1;Nodule;Utobara
No-193;CFI1_1_Utobara_Nodule;CFI1;CFI;Nodule;Utobara
No-194;CFI1_2_Utobara_Nodule;CFI1;CFI;Nodule;Utobara
No-195;CFI1_3_Utobara_Nodule;CFI1;CFI;Nodule;Utobara
No-196;CFI1_4_Utobara_Nodule;CFI1;CFI;Nodule;Utobara
No-197;CFI1_5_Utobara_Nodule;CFI1;CFI;Nodule;Utobara
No-198;CFI1_6_Utobara_Nodule;CFI1;CFI;Nodule;Utobara
No-211;CFI2_1_Utobara_Nodule;CFI2;CFI;Nodule;Utobara
No-212;CFI2_2_Utobara_Nodule;CFI2;CFI;Nodule;Utobara
No-213;CFI2_3_Utobara_Nodule;CFI2;CFI;Nodule;Utobara
No-214;CFI2_4_Utobara_Nodule;CFI2;CFI;Nodule;Utobara
No-215;CFI2_5_Utobara_Nodule;CFI2;CFI;Nodule;Utobara
No-216;CFI2_6_Utobara_Nodule;CFI2;CFI;Nodule;Utobara
Rh-013;Gifu_1_Aso_Rhizosphere;Gifu;Gifu;Rhizosphere;Aso
Rh-014;Gifu_2_Aso_Rhizosphere;Gifu;Gifu;Rhizosphere;Aso
Rh-015;Gifu_3_Aso_Rhizosphere;Gifu;Gifu;Rhizosphere;Aso
Rh-016;Gifu_4_Aso_Rhizosphere;Gifu;Gifu;Rhizosphere;Aso
Rh-017;Gifu_5_Aso_Rhizosphere;Gifu;Gifu;Rhizosphere;Aso
Rh-018;Gifu_6_Aso_Rhizosphere;Gifu;Gifu;Rhizosphere;Aso
Rh-043;NLEAP0_1_Aso_Rhizosphere;roomie1-1;roomie1;Rhizosphere;Aso
Rh-044;NLEAP0_2_Aso_Rhizosphere;roomie1-1;roomie1;Rhizosphere;Aso
Rh-045;NLEAP0_3_Aso_Rhizosphere;roomie1-1;roomie1;Rhizosphere;Aso
Rh-046;NLEAP0_4_Aso_Rhizosphere;roomie1-1;roomie1;Rhizosphere;Aso
Rh-047;NLEAP0_5_Aso_Rhizosphere;roomie1-1;roomie1;Rhizosphere;Aso
Rh-048;NLEAP0_6_Aso_Rhizosphere;roomie1-1;roomie1;Rhizosphere;Aso
Rh-061;NLEAP1_1_Aso_Rhizosphere;roomie1-2;roomie1;Rhizosphere;Aso
Rh-062;NLEAP1_2_Aso_Rhizosphere;roomie1-2;roomie1;Rhizosphere;Aso
Rh-063;NLEAP1_3_Aso_Rhizosphere;roomie1-2;roomie1;Rhizosphere;Aso
Rh-064;NLEAP1_4_Aso_Rhizosphere;roomie1-2;roomie1;Rhizosphere;Aso
Rh-065;NLEAP1_5_Aso_Rhizosphere;roomie1-2;roomie1;Rhizosphere;Aso
