SampleID	Sample number	Genotype_compartment	Genotype_compartment_inoculum	Genotype	Inoculum	Bio_rep	Cluster
MG11_3	358	MG11_RZ	MG11_RZ_SC	MG11	SC	three	two
MG12_3	359	MG12_RZ	MG12_RZ_SC	MG12	SC	three	zero
MG13_3	360	MG13_RZ	MG13_RZ_SC	MG13	SC	three	two
MG14_3	361	MG14_RZ	MG14_RZ_SC	MG14	SC	three	two
MG15_3	362	MG15_RZ	MG15_RZ_SC	MG15	SC	three	two
MG16_3	363	MG16_RZ	MG16_RZ_SC	MG16	SC	three	two
MG18_3	364	MG18_RZ	MG18_RZ_SC	MG18	SC	three	zero
MG19_3	365	MG19_RZ	MG19_RZ_SC	MG19	SC	three	two
MG20_3	366	MG20_RZ	MG20_RZ_SC	MG20	SC	three	two
MG21_3	367	MG21_RZ	MG21_RZ_SC	MG21	SC	three	two
MG22_3	368	MG22_RZ	MG22_RZ_SC	MG22	SC	three	two
MG23_3	369	MG23_RZ	MG23_RZ_SC	MG23	SC	three	two
MG24_3	370	MG24_RZ	MG24_RZ_SC	MG24	SC	three	two
MG25_3	371	MG25_RZ	MG25_RZ_SC	MG25	SC	three	two
MG26_3	372	MG26_RZ	MG26_RZ_SC	MG26	SC	three	two
MG27_3	373	MG27_RZ	MG27_RZ_SC	MG27	SC	three	two
MG28_3	374	MG28_RZ	MG28_RZ_SC	MG28	SC	three	two
MG29_3	375	MG29_RZ	MG29_RZ_SC	MG29	SC	three	two
MG30_3	376	MG30_RZ	MG30_RZ_SC	MG30	SC	three	two
MG32_3	377	MG32_RZ	MG32_RZ_SC	MG32	SC	three	two
MG33_3	378	MG33_RZ	MG33_RZ_SC	MG33	SC	three	two
MG34_3	379	MG34_RZ	MG34_RZ_SC	MG34	SC	three	zero
MG35_3	380	MG35_RZ	MG35_RZ_SC	MG35	SC	three	two
MG36_3	381	MG36_RZ	MG36_RZ_SC	MG36	SC	three	two
MG38_3	382	MG38_RZ	MG38_RZ_SC	MG38	SC	three	two
MG39_3	383	MG39_RZ	MG39_RZ_SC	MG39	SC	three	zero
MG40_3	384	MG40_RZ	MG40_RZ_SC	MG40	SC	three	two
MG41_3	385	MG41_RZ	MG41_RZ_SC	MG41	SC	three	two
MG42_3	386	MG42_RZ	MG42_RZ_SC	MG42	SC	three	two
MG44_3	387	MG44_RZ	MG44_RZ_SC	MG44	SC	three	two
MG45_3	388	MG45_RZ	MG45_RZ_SC	MG45	SC	three	two
MG46_3	389	MG46_RZ	MG46_RZ_SC	MG46	SC	three	two
MG48_3	390	MG48_RZ	MG48_RZ_SC	MG48	SC	three	two
MG49_3	391	MG49_RZ	MG49_RZ_SC	MG49	SC	three	two
MG50_3	392	MG50_RZ	MG50_RZ_SC	MG50	SC	three	zero
MG51_3	393	MG51_RZ	MG51_RZ_SC	MG51	SC	three	two
MG52_3	394	MG52_RZ	MG52_RZ_SC	MG52	SC	three	one
MG53_3	395	MG53_RZ	MG53_RZ_SC	MG53	SC	three	one
MG55_3	396	MG55_RZ	MG55_RZ_SC	MG55	SC	three	two
MG56_3	397	MG56_RZ	MG56_RZ_SC	MG56	SC	three	two
MG57_3	398	MG57_RZ	MG57_RZ_SC	MG57	SC	three	two
MG58_3	399	MG58_RZ	MG58_RZ_SC	MG58	SC	three	two
MG59_3	400	MG59_RZ	MG59_RZ_SC	MG59	SC	three	two
MG60_3	401	MG60_RZ	MG60_RZ_SC	MG60	SC	three	one
MG61_3	402	MG61_RZ	MG61_RZ_SC	MG61	SC	three	one
MG62_3	403	MG62_RZ	MG62_RZ_SC	MG62	SC	three	zero
MG63_3	404	MG63_RZ	MG63_RZ_SC	MG63	SC	three	zero
MG64_3	405	MG64_RZ	MG64_RZ_SC	MG64	SC	three	one
MG65_3	406	MG65_RZ	MG65_RZ_SC	MG65	SC	three	one
MG66_3	407	MG66_RZ	MG66_RZ_SC	MG66	SC	three	one
MG67_3	408	MG67_RZ	MG67_RZ_SC	MG67	SC	three	one
MG68_3	409	MG68_RZ	MG68_RZ_SC	MG68	SC	three	one
MG69_3	410	MG69_RZ	MG69_RZ_SC	MG69	SC	three	one
MG70_3	411	MG70_RZ	MG70_RZ_SC	MG70	SC	three	zero
MG71_3	412	MG71_RZ	MG71_RZ_SC	MG71	SC	three	one
MG72_3	413	MG72_RZ	MG72_RZ_SC	MG72	SC	three	one
MG73_3	414	MG73_RZ	MG73_RZ_SC	MG73	SC	three	one
MG74_3	415	MG74_RZ	MG74_RZ_SC	MG74	SC	three	one
MG75_3	416	MG75_RZ	MG75_RZ_SC	MG75	SC	three	one
MG76_3	417	MG76_RZ	MG76_RZ_SC	MG76	SC	three	one
MG77_3	418	MG77_RZ	MG77_RZ_SC	MG77	SC	three	zero
MG78_3	419	MG78_RZ	MG78_RZ_SC	MG78	SC	three	one
MG79_3	420	MG79_RZ	MG79_RZ_SC	MG79	SC	three	one
MG80_3	421	MG80_RZ	MG80_RZ_SC	MG80	SC	three	zero
MG81_3	422	MG81_RZ	MG81_RZ_SC	MG81	SC	three	one
MG82_3	423	MG82_RZ	MG82_RZ_SC	MG82	SC	three	one
MG83_3	424	MG83_RZ	MG83_RZ_SC	MG83	SC	three	one
MG84_3	425	MG84_RZ	MG84_RZ_SC	MG84	SC	three	one
MG85_3	426	MG85_RZ	MG85_RZ_SC	MG85	SC	three	one
MG86_3	427	MG86_RZ	MG86_RZ_SC	MG86	SC	three	one
MG88_3	428	MG88_RZ	MG88_RZ_SC	MG88	SC	three	three
MG89_3	429	MG89_RZ	MG89_RZ_SC	MG89	SC	three	three
MG90_3	430	MG90_RZ	MG90_RZ_SC	MG90	SC	three	one
MG91_3	431	MG91_RZ	MG91_RZ_SC	MG91	SC	three	one
MG92_3	432	MG92_RZ	MG92_RZ_SC	MG92	SC	three	one
MG93_3	433	MG93_RZ	MG93_RZ_SC	MG93	SC	three	one
MG94_3	434	MG94_RZ	MG94_RZ_SC	MG94	SC	three	one
MG95_3	435	MG95_RZ	MG95_RZ_SC	MG95	SC	three	one
MG96_3	436	MG96_RZ	MG96_RZ_SC	MG96	SC	three	one
MG97_3	437	MG97_RZ	MG97_RZ_SC	MG97	SC	three	one
MG98_3	438	MG98_RZ	MG98_RZ_SC	MG98	SC	three	one
MG99_3	439	MG99_RZ	MG99_RZ_SC	MG99	SC	three	one
MG100_3	440	MG100_RZ	MG100_RZ_SC	MG100	SC	three	one
MG101_3	441	MG101_RZ	MG101_RZ_SC	MG101	SC	three	one
MG102_3	442	MG102_RZ	MG102_RZ_SC	MG102	SC	three	one
MG103_3	443	MG103_RZ	MG103_RZ_SC	MG103	SC	three	one
MG104_3	444	MG104_RZ	MG104_RZ_SC	MG104	SC	three	one
MG105_3	445	MG105_RZ	MG105_RZ_SC	MG105	SC	three	one
MG106_3	446	MG106_RZ	MG106_RZ_SC	MG106	SC	three	one
MG107_3	447	MG107_RZ	MG107_RZ_SC	MG107	SC	three	one
MG109_3	448	MG109_RZ	MG109_RZ_SC	MG109	SC	three	one
MG110_3	449	MG110_RZ	MG110_RZ_SC	MG110	SC	three	one
MG111_3	450	MG111_RZ	MG111_RZ_SC	MG111	SC	three	one
MG112_3	451	MG112_RZ	MG112_RZ_SC	MG112	SC	three	one
MG113_3	452	MG113_RZ	MG113_RZ_SC	MG113	SC	three	one
MG115_3	453	MG115_RZ	MG115_RZ_SC	MG115	SC	three	one
MG116_3	454	MG116_RZ	MG116_RZ_SC	MG116	SC	three	one
MG117_3	455	MG117_RZ	MG117_RZ_SC	MG117	SC	three	one
MG118_3	456	MG118_RZ	MG118_RZ_SC	MG118	SC	three	one
MG119_3	457	MG119_RZ	MG119_RZ_SC	MG119	SC	three	one
MG120_3	458	MG120_RZ	MG120_RZ_SC	MG120	SC	three	one
MG121_3	459	MG121_RZ	MG121_RZ_SC	MG121	SC	three	one
MG122_3	460	MG122_RZ	MG122_RZ_SC	MG122	SC	three	one
MG123_3	461	MG123_RZ	MG123_RZ_SC	MG123	SC	three	one
MG124_3	462	MG124_RZ	MG124_RZ_SC	MG124	SC	three	two
MG125_3	463	MG125_RZ	MG125_RZ_SC	MG125	SC	three	two
MG126_3	464	MG126_RZ	MG126_RZ_SC	MG126	SC	three	two
MG127_3	465	MG127_RZ	MG127_RZ_SC	MG127	SC	three	three
MG128_3	466	MG128_RZ	MG128_RZ_SC	MG128	SC	three	three
MG129_3	467	MG129_RZ	MG129_RZ_SC	MG129	SC	three	three
MG130_3	468	MG130_RZ	MG130_RZ_SC	MG130	SC	three	three
MG131_3	469	MG131_RZ	MG131_RZ_SC	MG131	SC	three	three
MG132_3	470	MG132_RZ	MG132_RZ_SC	MG132	SC	three	three
MG133_3	471	MG133_RZ	MG133_RZ_SC	MG133	SC	three	three
MG134_3	472	MG134_RZ	MG134_RZ_SC	MG134	SC	three	three
MG135_3	473	MG135_RZ	MG135_RZ_SC	MG135	SC	three	three
MG136_3	474	MG136_RZ	MG136_RZ_SC	MG136	SC	three	zero
MG137_3	475	MG137_RZ	MG137_RZ_SC	MG137	SC	three	three
MG138_3	476	MG138_RZ	MG138_RZ_SC	MG138	SC	three	zero
MG139_3	477	MG139_RZ	MG139_RZ_SC	MG139	SC	three	three
MG140_3	478	MG140_RZ	MG140_RZ_SC	MG140	SC	three	three
MG141_3	479	MG141_RZ	MG141_RZ_SC	MG141	SC	three	three
MG142_3	480	MG142_RZ	MG142_RZ_SC	MG142	SC	three	three
MG143_3	481	MG143_RZ	MG143_RZ_SC	MG143	SC	three	three
MG144_3	482	MG144_RZ	MG144_RZ_SC	MG144	SC	three	three
MG145_3	483	MG145_RZ	MG145_RZ_SC	MG145	SC	three	three
MG146_3	484	MG146_RZ	MG146_RZ_SC	MG146	SC	three	three
MG148_3	485	MG148_RZ	MG148_RZ_SC	MG148	SC	three	three
MG149_3	486	MG149_RZ	MG149_RZ_SC	MG149	SC	three	three
MG150_3	487	MG150_RZ	MG150_RZ_SC	MG150	SC	three	three
MG151_3	488	MG151_RZ	MG151_RZ_SC	MG151	SC	three	zero
MG152_3	489	MG152_RZ	MG152_RZ_SC	MG152	SC	three	zero
MG154_3	490	MG154_RZ	MG154_RZ_SC	MG154	SC	three	three
MG156_3	491	MG156_RZ	MG156_RZ_SC	MG156	SC	three	three
MG162_3	492	MG162_RZ	MG162_RZ_SC	MG162	SC	three	three
MG163_3	493	MG163_RZ	MG163_RZ_SC	MG163	SC	three	three
MG170_3	494	MG170_RZ	MG170_RZ_SC	MG170	SC	three	three
MG172_3	495	MG172_RZ	MG172_RZ_SC	MG172	SC	three	three
MG176_3	496	MG176_RZ	MG176_RZ_SC	MG176	SC	three	three
MG187_3	497	MG187_RZ	MG187_RZ_SC	MG187	SC	three	three
MG188_3	498	MG188_RZ	MG188_RZ_SC	MG188	SC	three	three
MG196_3	499	MG196_RZ	MG196_RZ_SC	MG196	SC	three	three
MG198_3	500	MG198_RZ	MG198_RZ_SC	MG198	SC	three	zero
MG201_3	501	MG201_RZ	MG201_RZ_SC	MG201	SC	three	three
MG202_3	502	MG202_RZ	MG202_RZ_SC	MG202	SC	three	zero
MG203_3	503	MG203_RZ	MG203_RZ_SC	MG203	SC	three	zero
MG204_3	504	MG204_RZ	MG204_RZ_SC	MG204	SC	three	zero
MG205_3	505	MG205_RZ	MG205_RZ_SC	MG205	SC	three	zero
MG206_3	506	MG206_RZ	MG206_RZ_SC	MG206	SC	three	three
MG207_3	507	MG207_RZ	MG207_RZ_SC	MG207	SC	three	three
MG209_3	508	MG209_RZ	MG209_RZ_SC	MG209	SC	three	three
MG221_3	509	MG221_RZ	MG221_RZ_SC	MG221	SC	three	three
MG222_3	510	MG222_RZ	MG222_RZ_SC	MG222	SC	three	three
MG225_3	511	MG225_RZ	MG225_RZ_SC	MG225	SC	three	three
Gifu_3	512	Gifu_RZ	Gifu_RZ_SC	Gifu	SC	three	zero
Stick_NI_5	513	Stick_RZ	Stick_RZ_NI	Stick	NI	three	four
Stick_NI_6	514	Stick_RZ	Stick_RZ_NI	Stick	NI	three	four
Stick_SC_5	515	Stick_RZ	Stick_RZ_SC	Stick	SC	three	four
Stick_SC_6	516	Stick_RZ	Stick_RZ_SC	Stick	SC	three	four
